CVR;Regnskabsår;Påtale (y/n);Antal påtaler;Kontrolår;Revisionsvirksomhed;CVR_Rev_VK;MNE 1
10123518;2014;0;0;2015;PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab ;33771231;mne10845
10125596;2014/15;1;2;2015;3H Revision, Statsautoriseret revisor;98088857;mne6428
10130158;2013/14;0;0;2015;LMO I/S;30869052;mne16856
10144698;2011/12;0;0;2015;Revisor Team Nord;27226566;mne12631
10147859;2013;0;0;2014;EGTVED REVISIONSKONTOR A/S;27910165;mne2506
10160626;2013;0;0;2014;SØREN ØST HANSEN;12840195;mne3904
10160669;2014;0;0;2015;PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab ;33771231;mne8753
10182093;2012/13;0;0;2014;REVISOR-TEAM REGISTRERET REVISIONSPARTNERSELSKAB;35519432;mne1278
10185246;2013;0;0;2014;PEDER HOLT REGISTRERET REVISIONSANPARTSSELSKAB;21872741;mne34518
10217296;2012;1;2;2014;Zimmermann revision;17124587;mne11286
10234697;2014;0;0;2015;J.K. - REVISION V/JOHN KOFOED;46677714;mne8457
10261481;2013/14;0;0;2014;MADS BØDKER;14662138;mne2460
10266947;2012/13;1;10;2014;ERIK JØRGENSEN;48732313;mne8314
10267986;2014;0;0;2015;Revisorgården Holbæk;19720705;mne32080
10268915;2013;0;0;2014;BJ REVISION STATSAUTORISERET REVISIONSANPARTSSELSKAB;68497817;mne32072
10270642;2013/14;0;0;2014;DANSK REVISION SLAGELSE GODKENDT REVISIONSAKTIESELSKAB;29919801;mne5316
10282136;2014;0;0;2015;ALBJERG STATSAUTORISERET REVISIONSPARTNERSELSKAB;35382879;mne16567
10290813;2015;0;0;2016;KPMG, Statsautoriseret Revisionspartnerselskab;25578198;mne19737
10293189;2014;0;0;2015;TT REVISION, STATSAUTORISERET REVISIONSAKTIESELSKAB;29168504;mne34112
10303044;2013/14;1;1;2015;OBK REVISION REGISTRERET REVISOR ApS;68216214;mne718
10313309;2013;0;0;2014;OBSEN & NIELSEN A/S;26399610;mne518
10323878;2014;1;1;2015;KVALITETSREVISION GODKENDT REVISIONSPARTNERSELSKAB;36480254;mne343
10332591;2014;0;0;2015;Morten Schneider;33176996;mne8772
10337186;2013;0;0;2014;Heden & Fjorden I/S;21728446;mne3376
10346878;2012/13;1;6;2014;PER MØLLER PEDERSEN REGISTRERET REVISIONSAKTIESELSKAB;16229539;mne3286
10349389;2013/14;1;1;2015;Burholt Revision;20833696;mne336
10360641;2014;0;0;2015;BDO Statsautoriseret Revisionsaktieselskab ;20222670;mne2321
10363977;2015;0;0;2016;Deloitte, Statsautoriseret Revisionspartnerselskab;33963556;mne26740
10366607;2012/13;0;0;2014;KPM revision, Statsautoriseret revisor;25874927;mne34580
10369932;2014;0;0;2015;Ernst & Young P/S   ( Inkl. Ernst & Young Grønland);30700228;mne32772
10422183;2014;1;2;2015;REVIRK RÅDGIVNING STATSAUTORISERETREVISIONSANPARTSSELSKAB;31934354;mne32052
10424232;2013;1;9;2014;A P MØLLER;72707710;mne6436
10424240;2013;1;8;2014;A P MØLLER;72707710;mne6436
10432774;2013;1;3;2014;SØREN ASKLY, REGISTRERET REVISIONSANPARTSSELSKAB;10741092;mne276
10434130;2012/13;0;0;2014;FINN ELLGAARD;15935243;mne10143
10440033;2013;0;0;2014;DANSK REVISION ÅRHUS, REGISTRERET REVISIONSAKTIESELSKAB;26717671;mne7447
10495245;2013/14;1;3;2015;Aksel Christensen;18770407;mne10221
10510694;2012;0;0;2014;BEIERHOLM, STATSAUTORISERET REVISIONSPARTNERSELSKAB;32895468;mne11738
10518431;2014;0;0;2015;Krøyer Pedersen Statsautoriserede Revisorer I/S;89224918;mne5904
10529638;2015;0;0;2016;KPMG, Statsautoriseret Revisionspartnerselskab;25578198;mne26779
10634970;2015;0;0;2016;Deloitte, Statsautoriseret Revisionspartnerselskab;33963556;mne10089
10643635;2013;0;0;2014;DANSK REVISION FREDERIKSSUND REGISTRERET REVISIONSANPARTSSELSKAB;86141019;mne739
10682088;2013;0;0;2014;OBSEN & NIELSEN A/S;26399610;mne1287
10778638;2014;0;0;2015;Ernst & Young P/S   ( Inkl. Ernst & Young Grønland);30700228;mne33198
10847176;2014;1;1;2015;PJ REVISION STATSAUTORISERET REVISIONSANPARTSSELSKAB;33861044;mne8936
10854172;2013;1;1;2014;KRH V/KELD HANSEN;10854172;mne503
10858895;2013/14;0;0;2015;SØHØJLANDETS REVISION REGISTRERET REVISIONSANPARTSSELSKAB;31888026;mne4596
10895979;2014;1;1;2014;REVIØST REGISTRERET REVISIONSANPARTSSELSKAB;21164577;mne11349
10934370;2014/15;1;1;2015;VIACOUNT ApS REGISTRERET REVISIONSSELSKAB;34731764;mne998
10943299;2013/14;0;0;2014;DAMGAARD & ENEVOLDSEN REGISTRERET REVISIONSAKTIESELSKAB;24257770;mne11407
10950589;2013;1;1;2014;LANDBOTHY;41946717;mne16827
10970687;2012;0;0;2014;REVISION 2 A/S;16968137;mne15205
10977002;2012;0;0;2014;DANSK REVISION KALUNDBORG, GODKENDT REVISIONSAKTIESELSKAB;65766116;mne4562
11007287;2014;0;0;2015;DANSK REVISION HJØRRING REGISTRERET REVISIONSANPARTSSELSKAB;75938713;mne3971
11080847;2012;0;0;2014;bp-revision v/Bent Pedersen;15735376;mne10769
36036001;2013;0;0;2014;DANSK REVISION FREDERIKSSUND REGISTRERET REVISIONSANPARTSSELSKAB;86141019;mne2537
11168035;2014;0;0;2015;AC REVISION - REGISTRERET REVISIONSANPARTSSELSKAB;35050469;mne18323
11169996;2015;0;0;2016;Deloitte, Statsautoriseret Revisionspartnerselskab;33963556;mne19691
11170080;2014;1;2;2014;GUNDSØ REVISION REGISTRERET REVISIONSANPARTSSELSKAB;76475512;mne1770
11352146;2014;0;0;2015;ROBÆK GODKENDT REVISIONSAKTIESELSKAB;33946406;mne3114
11424899;2013;0;0;2014;PEDER HOLT REGISTRERET REVISIONSANPARTSSELSKAB;21872741;mne27751
11441475;2013;0;0;2014;JBC Revision v/Jørgen Christensen;25979907;mne2938
11489834;2012/13;0;0;2014;JS REVISION, STATSAUTORISERET REVISIONSAKTIESELSKAB;30836081;mne8841
11572707;2013/14;0;0;2014;BDO Statsautoriseret Revisionsaktieselskab (2012);20222670;mne10056
11664776;2013;0;0;2014;Revsbæk Revision;17169483;mne12470
11666779;2014;0;0;2015;PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab ;33771231;mne9291
11748171;2012/13;1;4;2014;REVISIONSKONTORET I VIDEBÆK A/S;33750889;mne1831
11771483;2014;0;0;2015;Ernst & Young P/S   ( Inkl. Ernst & Young Grønland);30700228;mne11681
11776035;2014;0;0;2015;REVISION FYN REGISTRERET REVISIONSANPARTSSELSKAB;31896444;mne16656
11800475;2012/13;1;6;2014;Jørgen Gilling;18619407;mne5318
11806244;2013;0;0;2014;ERIK REINSBORG REGISTRERET REVISIONSANPARTSSELSKAB;25491742;mne15465
11881238;2014;0;0;2015;PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab ;33771231;mne23318
11882099;2013;0;0;2014;REHVIDSION STATSAUTORISERET REVISIONSANPARTSSELSKAB;82958118;mne3677
11986943;2013;0;0;2014;Trekroner Revision A/S;28991355;mne31382
12048246;2013;0;0;2014;EKL REVISION, REGISTRERET REVISIONSANPARTSSELSKAB;30175859;mne18225
12071248;2012/13;1;4;2014;STEEN FUGMANN GODKENDT REVISIONSANPARTSSELSKAB;35207422;mne2727
12144334;2013;0;0;2014;REVISIONSKONTORET JYTTE AAGESEN REGISTRERET REVISIONSAKTIESELSKAB;26670330;mne17313
12151004;2013/14;0;0;2015;Toft Revision Registreret Revisionsfirma v/Kim Toft;20868546;mne16258
12239335;2013;0;0;2014;Mogens Andersen;26386330;mne5529
12243308;2013;0;0;2015;ARIES (tidl. AGENDA REVISION GODKENDT REVISIONSAKTIESELSKAB);26454123;mne29384
12245343;2013;0;0;2014;DAMGAARD & ENEVOLDSEN REGISTRERET REVISIONSAKTIESELSKAB;24257770;mne1036
12247796;2013;0;0;2014;Gert Ovesen, Registreret Revisor FRR;13364796;mne4326
12333641;2013;0;0;2014;IB ROHDE, REGISTRERET REVISIONSVIRKSOMHED;30905652;mne1246
12350937;2013;0;0;2014;BEIERHOLM, STATSAUTORISERET REVISIONSPARTNERSELSKAB;32895468;mne9371
12483503;2014;1;2;2015;BDO Statsautoriseret Revisionsaktieselskab ;20222670;mne28824
12499191; 2013/14;0;0;2014;TRANBERG, STATSAUTORISERET REVISIONSAKTIESELSKAB;26063655;mne26762
12535031;2013/14;0;0;2014;GREEN REVISION REGISTRERET REVISIONSAKTIESELSKAB;10895189;mne415
12547285;2013;0;0;2014;KORSGAARD REVISION A/S;13835640;mne17139
12560532;2013;0;0;2014;KVIST & JENSEN, HADSUND, STATSAUTORISEREDE REVISORER A/S;29313075;mne31397
12583079;2013;0;0;2014;JWS REVISION GODKENDT REVISIONSAKTIESELSKAB;27015476;mne5761
12593198;2014;0;0;2015;Revisor Team Nord;27226566;mne12588
12617070;2014;0;0;2015;Krøyer Pedersen Statsautoriserede Revisorer I/S;89224918;mne18620
12626509;2014;0;0;2015;Ernst & Young P/S   ( Inkl. Ernst & Young Grønland);30700228;mne28632
12627688;2013;1;3;2014;SVEN RYDING REGISTRERET REVISIONSANPARTSSELSKAB;10296579;mne1228
12659482;2013;0;0;2014;LANDBOTHY;41946717;mne464
12688997;2013/14;1;4;2014;NU-REVI STATSAUTORISERET REVISOR ApS;29839328;mne24841
12745591;2013;0;0;2014;RB REVISION. REGISTRERET REVISORANPARTSSELSKAB;21706833;mne962
12760043;2015;0;0;2016;KPMG, Statsautoriseret Revisionspartnerselskab;25578198;mne32169
12845138;2014;0;0;2015;CLAUS MELDGAARD GODKENDT REVISIONSANPARTSSELSKAB;35520201;mne1313
12853580;2013;1;1;2014;ND Revision Randers registreret revisionsinteressentskab;28258046;mne7382
12863233;2013;0;0;2014;BEIERHOLM, STATSAUTORISERET REVISIONSPARTNERSELSKAB;32895468;mne10408
12869096;2013;0;0;2014;LP Revision & Rådgivning (tidl. LEON PINHOLT);16368342;mne10726
12890508;2012/13;1;1;2014;AKTIV REVISION SILKEBORG REGISTRERET REVISIONSANPARTSSELSKAB;14788107;mne7504
12895305;2012;0;0;2014;Finn Erik Rasmussen;54472455;mne17356
12899602;2014;0;0;2015;Redmark Statsautoriseret Revisionspartnerselskab  ;29442789;mne31488
12932502;2015;0;0;2016;Deloitte, Statsautoriseret Revisionspartnerselskab;33963556;mne27762
13009600;2014/15;0;0;2015;LUNI REVISION I/S;17811371;mne7492
13033471;2014;0;0;2015;HANNE OG ERLING LUND ApS;35143114;mne727
13050597;2013;1;2;2014;IB ROHDE, REGISTRERET REVISIONSVIRKSOMHED;30905652;mne18898
13069735;2012/13;0;0;2016;Deloitte, Statsautoriseret Revisionspartnerselskab;33963556;mne10074
13075999;2014;0;0;2015;Sønderjysk Landboforening;47437113;mne11215
13080046;2012/13;0;0;2015;VIACOUNT ApS REGISTRERET REVISIONSSELSKAB;34731764;mne16693
13080984;2012/13;1;5;2014;NIELS HOUGAARD SKIPPER;11209483;mne3462
13118175;2014;0;0;2015;PC-Revision Gentofte;30969103;mne2657
13145016;2013;0;0;2014;BDO Statsautoriseret Revisionsaktieselskab (2012);20222670;mne19734
13229511;2013;0;0;2014;BEIERHOLM, STATSAUTORISERET REVISIONSPARTNERSELSKAB;32895468;mne21381
13249938;2013;0;0;2014;Centrum Revision V/KURT HÅKONSSON;17037307;mne2575
13267804;2013;0;0;2014;Lars Jeppesen;26923891;mne2889
13362718;2012/13;0;0;2014;BEIERHOLM, STATSAUTORISERET REVISIONSPARTNERSELSKAB;32895468;mne10409
13411182;2013;1;1;2014;BDO Statsautoriseret Revisionsaktieselskab (2012);20222670;mne23302
13431906;2014;0;0;2015;Revisorgården Holbæk;19720705;mne17408
13439877;2015;0;0;2016;Djurs Revision v/ Peter Engvang;19713830;mne3882
13478007;2013;0;0;2014;BAKER TILLY DENMARK GODKENDT REVISIONSPARTNERSELSKAB;35257691;mne23256
13480036;2014;0;0;2015;PJ REVISION STATSAUTORISERET REVISIONSANPARTSSELSKAB;33861044;mne8936
13494177;2014;0;0;2015;ADVISOR-REVISION STATSAUTORISERET REVISIONSANPARTSSELSKAB;34213798;mne10047
13538530;2015;0;0;2016;Deloitte, Statsautoriseret Revisionspartnerselskab;33963556;mne24807
13576939;2013/14;1;2;2014;NOE & KIRKEGAARD, REGISTREREDE REVISORER A/S;15050586;mne34265
13612781;2014;0;0;2015;Revisor Team Nord;27226566;mne1260
13680949;2013/14;1;1;2015;WIND REVISION REGISTRERET REVISIONSANPARTSSELSKAB;34804699;mne7485
13792593;2013;1;2;2014;LOKALREVISION REGISTRERET REVISIONSANPARTSSELSKAB;78646411;mne1295
13828687;2013;1;1;2014;FUNDER & OSTENFELD REVISION GODKENDT REVISIONSANPARTSSELSKAB;29628777;mne320
13884676;2014;0;0;2015;PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab ;33771231;mne9947
13890544;2012/13;0;0;2014;REVISIONRY GODKENDT REVISIONSAKTIESELSKAB;26267439;mne6353
13864578;2012/13;1;1;2014;BENNY JENSEN A/S,STATSAUTORISERET REVISIONSVIRKSOMHED;17937987;mne9414
13901848;2012/13;0;0;2014;FINN ELLGAARD;15935243;mne10143
13911932;2014;0;0;2015;REVISORKOMPAGNIET GODKENDT REVISIONSANPARTSSELSKAB;34045607;mne110
13963479;2012/13;0;0;2014;POUL REXEN THOMSEN ApS;81127115;mne9432
14050973;2014;0;0;2015;Revisorgruppen v/Eva Kristensen og Lars Gotfredsen I/S;35071199;mne12451
14077278;2012/13;0;0;2014;INTENSION REGISTRERET REVISIONSAKTIESELSKAB;26632315;mne10833
14111441;2014;0;0;2015;DANSK REVISION HJØRRING REGISTRERET REVISIONSANPARTSSELSKAB;75938713;mne4367
14130489;2014;0;0;2015;Redmark Statsautoriseret Revisionspartnerselskab  ;29442789;mne33734
14194711;2014;0;0;2015;Ernst & Young P/S   ( Inkl. Ernst & Young Grønland);30700228;mne23314
14242597;2014;1;1;2015;Redmark Statsautoriseret Revisionspartnerselskab  ;29442789;mne9201
14243240;2012/13;0;0;2014;BYRIEL SAND/ KIRSTEN BYRIEL SAND;93602455;mne8715
14244441;2015;0;0;2016;KPMG, Statsautoriseret Revisionspartnerselskab;25578198;mne32737
14247734;2014;0;0;2015;Ernst & Young P/S   ( Inkl. Ernst & Young Grønland);30700228;mne9755
14249141;2012/13;0;0;2014;REVISIONRY GODKENDT REVISIONSAKTIESELSKAB;26267439;mne33822
14262075;2013;1;2;2014;Revisionskontoret v/Annette Bjerg Nielsen;69885055;mne3154
14262172;2013;1;3;2014;Vedbæk Revision v/Lillian Hauermann Lindgreen;14262172;mne11060
14268235;2013;1;4;2014;GRANT THORNTON,STATSAUTORISERET REVISIONSPARTNERSELSKAB;34209936;mne9516
14320415;2014;0;0;2015;Ernst & Young P/S   ( Inkl. Ernst & Young Grønland);30700228;mne10102
14336796;2013;1;2;2014;AKTIV REVISION SILKEBORG REGISTRERET REVISIONSANPARTSSELSKAB;14788107;mne7504
14437002;2014;0;0;2015;P.B. MATTHIESEN ApS;70697319;mne3109
14471782;2013;0;0;2014;Revisionskontoret v/Annette Bjerg Nielsen;69885055;mne3154
14485546;2014;0;0;2015;PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab ;33771231;mne18489
14563601;2013;0;0;2014;2talRevision v/Jan Christensen;20935790;mne23138
14683836;2014;0;0;2015;TORLUND, STATSAUTORISERET REVISIONSANPARTSSELSKAB;31165571;mne30121
14689397;2012;0;0;2014;GRANT THORNTON,STATSAUTORISERET REVISIONSPARTNERSELSKAB;34209936;mne27832
14704507;2014;0;0;2015;Krøyer Pedersen Statsautoriserede Revisorer I/S;89224918;mne26812
14730834;2014/15;0;0;2015;MBP ApS, REGISTRERET REVISOR;31167140;mne17457
14738045;2014;0;0;2015;NF PLUS REVISION GODKENDT REVISIONSANPARTSSELSKAB;36031719;mne17274
14747079;2014;0;0;2015;Ernst & Young P/S   ( Inkl. Ernst & Young Grønland);30700228;mne33192
14793232;2014;0;0;2015;ANDERSEN & VILLEMANN ØST STATSAUTORISERET REVISIONSPARTNERSELSKAB;33948794;mne34151
14808736;2013;1;1;2014;Revisionskontoret Iversen/ Hedegaard;10019699;mne474
14853243;2013;0;0;2014;BAKER TILLY DENMARK GODKENDT REVISIONSPARTNERSELSKAB;35257691;mne21318
14876545;2014;0;0;2015;FER Fyn Erhvervsrevision I/S;21447587;mne10851
14894977;2015/16;0;0;2016;GRONEMANN'S REGISTRERET REVISIONSANPARTSSELSKAB;32563627;mne17911
14895876;2013;0;0;2014;HE REVISION REGISTRERET REVISIONSANPARTSSELSKAB;29404992;mne16345
14909745;2013;0;0;2014;BAKER TILLY DENMARK GODKENDT REVISIONSPARTNERSELSKAB;35257691;mne9567
31584558;2014;0;0;2015;VISTISEN & LUNDE STATSAUTORISERET REVISIONSPARTNERSELSKAB;35658432;mne34484
14919295;2013/14;0;0;2014;REVISORSAMARBEJDET REVISAM, REGISTRERET REVISIONSANPARTSSELSKAB;25901266;mne266
14944079;2014;0;0;2015;Redmark Statsautoriseret Revisionspartnerselskab  ;29442789;mne33705
14944079;2015;0;0;2016;Deloitte, Statsautoriseret Revisionspartnerselskab;33963556;mne34150
14945636;2013/14;0;0;2014;BJ REVISION STATSAUTORISERET REVISIONSANPARTSSELSKAB;68497817;mne32072
14974687;2013/14;0;0;2014;ABM-Revision registreret revisionsvirksomhed v/Birgit Munksgaard;29234590;mne4385
14981381;2011/12;0;0;2014;DANSK REVISION ÅRHUS, REGISTRERET REVISIONSAKTIESELSKAB;26717671;mne9343
15044470;2012/13;1;3;2014;REVISIONSKONTORET JYTTE AAGESEN REGISTRERET REVISIONSAKTIESELSKAB;26670330;mne943
15096136;2013;1;2;2014;LOKALREVISION REGISTRERET REVISIONSANPARTSSELSKAB;78646411;mne1295
15107707;2015;0;0;2016;KPMG, Statsautoriseret Revisionspartnerselskab;25578198;mne26708
15108002;2014;1;1;2015;DIN REVISOR ApS REGISTRERET REVISIONSSELSKAB;35407359;mne34273
15108908;2013;0;0;2014;HAAMANN A/S, STATSAUTORISEREDE REVISORER;24256995;mne9504
15118687;2014;0;0;2015;RKHOLM STATSAUTORISERET REVISIONSPARTNERSELSKAB;35042520;mne26731
15129301;2013;1;8;2014;A P MØLLER;72707710;mne6436
15134194;2013/14;0;0;2015;TIMEVISION FREDERIKSBERG GODKENDT REVISIONSAKTIESELSKAB;31943582;mne34274
15145382;2012/13;1;2;2014;BEIERHOLM, STATSAUTORISERET REVISIONSPARTNERSELSKAB;32895468;mne10409
15155795;2013/14;0;0;2014;JS REVISION, STATSAUTORISERET REVISIONSAKTIESELSKAB;30836081;mne28744
15179589;2013;1;2;2014;SVEN RYDING REGISTRERET REVISIONSANPARTSSELSKAB;10296579;mne1228
15191902;2013;0;0;2014;REVISIONSCENTRET AABENRAA GODKENDTREVISIONSAKTIESELSKAB;29695636;mne689
15194413;2014;0;0;2015;Ernst & Young P/S   ( Inkl. Ernst & Young Grønland);30700228;mne28657
15214732;2013/14;0;0;2014;LANDBOTHY;41946717;mne3540
15228431;2013;0;0;2014;PLUS REVISION REGISTRERET REVISIONSANPARTSSELSKAB;20452897;mne11748
15228709;2013/14;1;1;2015;REVISION KØBENHAVN STATSAUTORISERET REVISIONSANPARTSSELSKAB VBR;34452342;mne2300
15241519;2013;0;0;2014;KALLERMANN REVISION A/S STATSAUTORISERET REVISIONSFIRMA;30195264;mne34380
15289880;2013;1;3;2014;danrevi Assens v/registreret revisor Per Johansen;17632841;mne2959
15291133;2015;1;1;2016;KPMG, Statsautoriseret Revisionspartnerselskab;25578198;mne9991
15300574;2014;0;0;2015;PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab ;33771231;mne28703
15336994;2014/15;1;2;2015;3H Revision, Statsautoriseret revisor;98088857;mne6428
15368993;2013;1;1;2014;IB ROHDE, REGISTRERET REVISIONSVIRKSOMHED;30905652;mne1246
15378700;2014;0;0;2015;Ernst & Young P/S   ( Inkl. Ernst & Young Grønland);30700228;mne33717
15395133;2013;0;0;2014;REVISIONSKONTORET I VIDEBÆK A/S;33750889;mne1831
15427078;2014;1;4;2014;HvidebækRevisoren;28931581;mne2049
15428686;2013;0;0;2014;BYRIEL SAND/ KIRSTEN BYRIEL SAND;93602455;mne8713
15429690;2013/14;0;0;2015;TIMEVISION BRØNDBY GODKENDT REVISIONSAKTIESELSKAB;19000435;mne6684
15445645;2013/14;0;0;2014;TORBEN JENSEN GODKENDT REVISIONSANPARTSSELSKAB;27521975;mne16440
15482583;2013;0;0;2014;DANSK REVISION SØNDERBORG REGISTRERET REVISIONSANPARTSSELSKAB;30816471;mne12610
15501839;2014;0;0;2015;BDO Statsautoriseret Revisionsaktieselskab ;20222670;mne19678
15554142;2013;0;0;2014;Verner Freundlich Larsen;91778750;mne862
15554371;2014;0;0;2015;HOLM Revision;31571243;mne8360
32086837;2013;0;0;2014;KJELD LINNEBJERG REGISTRERET REVISIONSANPARTSSELSKAB;15587008;mne959
15622547;2013/14;0;0;2014;BAYS REVISIONSKONTOR V/KIM BAY;20183497;mne12805
15635436;2014/15;0;0;2015;LUNI REVISION I/S;17811371;mne3283
15647140;2013;1;1;2014;K.E. Simonsen;19381102;mne8818
15658339;2013;0;0;2014;Trekroner Revision A/S;28991355;mne31382
15689188;2014;0;0;2015;BUCH&NØRGAARD;71344517;mne2445
15729538;2014/15;0;0;2015;Døssing & Partnere Revisionsinteressentskab;54879911;mne2582
15731176;2014;0;0;2015;PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab ;33771231;mne18651
15881534;2012/13;0;0;2014;ROESGAARD & PARTNERS STATSAUTORISERET REVISIONSAKTIESELSKAB;25802063;mne28681
15905441;2013;0;0;2014;C&J REVISION REGISTRERET REVISIONSANPARTSSELSKAB;26326931;mne551
15930489;2013;0;0;2014;ABEL & JØRGENSEN REGISTRERET REVISIONSANPARTSSELSKAB;14343849;mne703
15976578;2014;0;0;2015;PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab ;33771231;mne26782
16020192;2013/14;0;0;2015;Døssing & Partnere Revisionsinteressentskab;54879911;mne2720
16095389;2012/13;0;0;2014;REVIDATA. REGISTREREDE REVISORER A/S;37029815;mne3249
16133493;2013;1;4;2014;RÅDGIVNINGSGRUPPEN REGISTRERET REVISIONSANPARTSSELSKAB;29316996;mne2526
16174602;2014;0;0;2015;BAAGØE SCHOU STATSAUTORISERET REVISIONSAKTIESELSKAB;21148148;mne21443
16178373;2013;1;2;2014;JAN ANDERSEN;77966668;mne2317
16221902;2014/15;0;0;2015;EDELBO STATSAUTORISERET REVISIONSPARTNERSELSKAB;35486178;mne11630
16233846;2013/14;0;0;2015;FREJ REVISION, STATSAUTORISERET REVISIONSAKTIESELSKAB;34351961;mne8902
16238600;2013;0;0;2014;BEIERHOLM, STATSAUTORISERET REVISIONSPARTNERSELSKAB;32895468;mne8497
16271187;2015;0;0;2016;Deloitte, Statsautoriseret Revisionspartnerselskab;33963556;mne10089
16277673;2014;0;0;2014;JS REVISION, STATSAUTORISERET REVISIONSAKTIESELSKAB;30836081;mne28744
16314048;2014;0;0;2015;PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab ;33771231;mne30212
16374431;2012/13;0;0;2014;REVISORHUSET HOLSTEBRO P/S;32341799;mne3189
16406899;2015/16;0;0;2016;KPMG, Statsautoriseret Revisionspartnerselskab;25578198;mne19796
16499609;2014;1;3;2015;BDO Statsautoriseret Revisionsaktieselskab ;20222670;mne31412
16514179;2014;0;0;2015;ALBJERG STATSAUTORISERET REVISIONSPARTNERSELSKAB;35382879;mne10884
16605948;2014;0;0;2015;TIMEVISION SLAGELSE GODKENDT REVISIONSAKTIESELSKAB;34699518;mne1388
16668591;2014;0;0;2015;NØRGAARD REVISION REGISTREREDE REVISORER ApS;31131928;mne982
16769940;2014;0;0;2015;TEAM REVISION REGISTRERET REVISIONSANPARTSSELSKAB;29423989;mne5764
16853747;2013;1;1;2014;Secher v/Peter Secher;26361907;mne1309
16917931;2014;0;0;2015;PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab ;33771231;mne15009
27512488;2013;0;0;2014;CHRISTIAN DANIELSEN. REGISTRERET REVISIONSANPARTSSELSKAB;16953199;mne2602
16088692;2013;0;0;2014;CHRISTIAN DANIELSEN. REGISTRERET REVISIONSANPARTSSELSKAB;16953199;mne2602
16961035;2013;0;0;2014;DANSK REVISION AALBORG REGISTRERET REVISIONSAKTIESELSKAB;17835998;mne4035
16984701;2013;0;0;2014;ADDERE REVISION STATSAUTORISERET REVISIONSPARTNERSELSKAB;34589992;mne5525
16991678;2013;0;0;2014;Gert Olander, Statsautoriseret revisor;29048061;mne10189
17002147;2014/15;0;0;2016;Deloitte, Statsautoriseret Revisionspartnerselskab;33963556;mne30131
17012436;2013;0;0;2014;BEIERHOLM, STATSAUTORISERET REVISIONSPARTNERSELSKAB;32895468;mne9951
17061348;2012/13;0;0;2014;REVISIONSCENTRET HADERSLEV, REGISTREREDE REVISORER A/S;13976295;mne2843
17150138;2014;0;0;2015;ADDCO P/S GODKENDTE REVISORER;36464852;mne11022
17221094;2013;0;0;2014;BJERRE MØLLER PEDERSEN & BERING I/S;10475686;mne199
17228706;2013/14;0;0;2014;REHVIDSION STATSAUTORISERET REVISIONSANPARTSSELSKAB;82958118;mne3677
17268945;2013;0;0;2014;TOMMY JENSEN GODKENDT REVISIONSANPARTSSELSKAB;20082097;mne2861
